"last_name, first_name","player_id","year","ff_avg_speed","ff_avg_spin","ff_avg_break_x","ff_avg_break_z","sl_avg_speed","sl_avg_spin","sl_avg_break_x","sl_avg_break_z","ch_avg_speed","ch_avg_spin","ch_avg_break_x","ch_avg_break_z"
"Quintana, Jose","500779","2024","90.7","2074","3.8","-17.2",,,,,"85.7","1324","14.4","-33.1"
"Rea, Colin","607067","2024","92.9","2175","-6.5","-17.8",,,,,,,,
"Bassitt, Chris","605135","2024","92.6","2160","-7.6","-18.9","82.5","2376","6.8","-41","84.5","1930","-17.2","-31"
"Cortes Jr., Nestor","641482","2024","92.1","2309","4.8","-13.2","81.4","2443","-2.6","-47.6","83.6","1409","13.7","-34.9"
"Pfaadt, Brandon","694297","2024","93.8","2557","-5.5","-16.2",,,,,"87.5","2065","-15.4","-32.2"
"Singer, Brady","663903","2024","91.6","2362","-5.9","-18.9","83","2406","4.4","-40.5","88.1","2077","-14.7","-29.5"
"Crawford, Kutter","676710","2024","92.6","2504","-7.6","-12.4",,,,,,,,
"Severino, Luis","622663","2024","96.1","2216","-6.5","-13.9","86.8","2548","7.2","-35.6","86.1","1583","-14","-29.8"
"Gilbert, Logan","669302","2024","96.6","2025","-7","-13.2","88.4","1905","1","-35.2",,,,
"Gausman, Kevin","592332","2024","93.9","2286","-10.8","-14.2","82.8","2238","1.4","-36.2",,,,
"Keller, Mitch","656605","2024","94.4","2406","-9.1","-16.2","87.5","2493","4.7","-34.5","89.8","2082","-16","-30.4"
"Burnes, Corbin","669203","2024",,,,,"87.2","2980","9.1","-37","89.2","2036","-14","-27.5"
"Mikolas, Miles","571945","2024","93.2","2255","-6.2","-17.8","86.5","2323","3.3","-33.5","85.6","1676","-14.2","-30.8"
"Nola, Aaron","605400","2024","92.5","2308","-11.9","-17.4",,,,,"85.7","1549","-15.3","-34.1"
"Berríos, José","621244","2024","94.1","2160","-9.5","-16.1",,,,,"84.8","1589","-14.5","-33.4"
"Skenes, Paul","694973","2024","98.8","2243","-14.3","-17.4","86.5","2325","1.6","-29.8","87.3","2038","-17.3","-32.5"
"Lodolo, Nick","666157","2024","94.1","2347","17.3","-21.3",,,,,"88.1","2005","17.8","-34.2"
"Gil, Luis","661563","2024","96.6","2440","-5.6","-12.2","87.6","2505","5.6","-28.9","91.6","1723","-15","-27.5"
"Lorenzen, Michael","547179","2024","93.8","2385","-10.5","-15.6","85.2","2668","3.6","-39.6","84.6","2020","-15.6","-29.2"
"Ryan, Joe","657746","2024","94","2276","-11.8","-17.2","87.1","2411","2.6","-31.6",,,,
"Harrison, Kyle","690986","2024","92.5","2203","14.7","-21.3","88.2","2165","1.5","-30.9","84.8","1946","16.4","-37.1"
"Steele, Justin","657006","2024","91.6","2420","0.2","-19.2","83.3","2719","-12.4","-38.7","86.4","1655","12.1","-28.6"
"Irvin, Cole","608344","2024","91.9","2029","11.9","-17.2","78","2221","-4","-50.8","84.9","1564","13.9","-30.1"
"Myers, Tobias","668964","2024","92.9","2221","-5","-12.6","85.5","2099","4.2","-33.8","81.2","1858","-11.7","-29.1"
"Arrighetti, Spencer","681293","2024","94.1","2305","-11.9","-15.7","82.6","2623","6.7","-31","85.5","1673","-15","-32.6"
"Suárez, Albert","544150","2024","94.8","2384","-7.1","-14.1",,,,,"86.1","2017","-16.3","-29.1"
"Woods Richardson, Simeon","680573","2024","93.1","2187","-5.8","-14.1","86.4","2301","6.2","-29.4","82.8","2270","-15.4","-30.2"
"Estes, Joey","683155","2024","92.4","2373","-9.6","-15.6","81.7","2483","5.5","-40.6","84.8","1664","-14.6","-29.3"
"Rogers, Trevor","669432","2024","91.9","2432","11.9","-17.8","82.4","2248","-3.8","-35.1","85.6","1626","14.4","-37.2"
"Martinez, Nick","607259","2024","92.6","2344","-4.5","-14","84.9","2427","1.2","-35.1","80.1","2106","-12.6","-35.8"
"Suárez, Ranger","624133","2024","91.9","2009","5.3","-20","81.3","2016","-7.6","-43.6","80","1233","10.6","-41.2"
"Waldron, Matt","663362","2024","90.6","2057","-9.1","-19.1",,,,,,,,
"Stone, Gavin","694813","2024","94.9","2234","-8.4","-14.1","88.8","2084","2.4","-33.6","87.5","1665","-13.8","-30.2"
"Gray, Sonny","543243","2024","92.4","2514","1.2","-19.8",,,,,"88.3","1704","-11.2","-29.8"
"Assad, Javier","665871","2024","91.5","2035","-5.7","-16.2","81.1","2335","7.2","-42.5","83.8","1438","-12.8","-30.6"
"Montas, Frankie","593423","2024","95.6","2384","-5.1","-14.5","85.3","2520","7.6","-33.9",,,,
"Sale, Chris","519242","2024","94.8","2240","14.9","-20.4","78.6","2334","-11","-49.3","87.1","1886","16.2","-36"
"Ober, Bailey","641927","2024","91.8","2302","-7.9","-15.6","80.3","2018","12.3","-44.9","83.4","2041","-17","-33.6"
"King, Michael","650633","2024","93.7","2285","-6","-16.2","85.7","2416","3.7","-35.6","86.7","2044","-17.6","-31.5"
"Eovaldi, Nathan","543135","2024","95.5","2189","-13.9","-18.5","86","2121","5.1","-34.6",,,,
"Lively, Ben","594902","2024","89.9","2005","-8.5","-18.5","80.7","1975","6","-34","83.9","1706","-15.1","-31.3"
"Ragans, Cole","666142","2024","95.5","2553","12.6","-12.9","86.1","2545","-0.9","-36.1","84.8","2161","16","-25.8"
"Cease, Dylan","656302","2024","96.9","2557","-2.5","-10.8","87.6","2781","2.2","-33.7","69.7","1554","-4.3","-39.3"
"Rodón, Carlos","607074","2024","95.4","2384","8.8","-12.4","86.8","2627","-6.6","-37.4","85.5","1659","12.5","-34.3"
"Heaney, Andrew","571760","2024","91.5","2402","15.6","-19.1","82.5","2515","-2.3","-39.1","83.7","2105","17.3","-33.7"
"Littell, Zack","641793","2024","92.5","2025","-7.1","-15.2","86.6","2260","2.5","-29.4",,,,
"Fried, Max","608331","2024","93.9","2221","0","-19.8","83.6","2616","-5","-43.6","85.7","1421","12.1","-32.7"
"Wacha, Michael","608379","2024","93.6","2132","-6.6","-13.2","84.1","2037","2.7","-37.1","81.3","1546","-12.9","-36"
"Stroman, Marcus","573186","2024","89.9","2302","-6.5","-22.9","85.3","2654","4.5","-39.6",,,,
"Miller, Bryce","682243","2024","95.2","2484","-6.3","-12","86.6","2542","3.2","-34.9",,,,
"Gibson, Kyle","502043","2024","91.4","2234","-4.5","-16.6",,,,,"84.9","1709","-12.8","-33.2"
"Imanaga, Shota","684007","2024","91.7","2442","10.2","-14.4",,,,,"81.6","1677","12","-31.5"
"Taillon, Jameson","592791","2024","92.3","2282","-6.8","-16",,,,,"86","1894","-14.2","-27"
"Fedde, Erick","607200","2024","92.9","2043","-3","-21.4",,,,,"87.7","1730","-11","-31.8"
"Flexen, Chris","623167","2024","91.3","2142","-1.5","-14.6","80.1","2591","11","-45.6","81.4","1319","-11.7","-31.4"
"Eflin, Zach","621107","2024","92.4","2196","-8.8","-19.5","80.8","2385","4.1","-33.8","85.5","1594","-15.2","-34.5"
"López, Pablo","641154","2024","95","2205","-5.6","-15.8",,,,,"88.5","2107","-16.8","-28.3"
